Agency,Agency Name
HPD,Department of Housing Preservation and Development
DOT,Department of Transportation
DEP,Department of Environmental Protection
NYPD,New York City Police Department
DOB,Department of Buildings
DPR,Department of Parks and Recreation
DOHMH,Department of Health and Mental Hygiene
DCA,Department of Consumer Affairs
TLC,Taxi and Limousine Commission
DSNY,BCC - Brooklyn South
DSNY,BCC - Brooklyn North
DSNY,BCC - Queens East
DSNY,BCC - Staten Island
DSNY,A - Brooklyn
DSNY,BCC - Manhattan
DSNY,Department of Sanitation
DSNY,A - Queens
DSNY,BCC - Queens West
DOE,Central - Department of Education
DSNY,BCC - Bronx
DSNY,A - Manhattan
DSNY,Queens East 12
DSNY,A - Canine Task Force Citywide
DSNY,A - Bronx
DSNY,"A - Illegal Posting Staten Island, Queens and Brooklyn"
DSNY,Lot Cleaning
DSNY,Queens East 10
DSNY,A - Staten Island
DSNY,A - Illegal Posting Manhattan and Bronx
DSNY,Queens West 03
DSNY,Brooklyn South 10
DSNY,Bronx 10
DSNY,P - Brooklyn and Staten Island
DSNY,Queens West 06
DSNY,Bronx 11
DSNY,Queens West 04
DSNY,P - Queens
DOITT,Department of Information Technology and Telecommunications
DSNY,Manhattan 04
DSNY,P - Manhattan and Bronx
DSNY,Bronx 03
TLC,Correspondence - Taxi and Limousine Commission
DSNY,Bronx 08
DSNY,Bronx 04
DSNY,P - Commercial Recycling Citywide
DOF,Refunds and Adjustments
HRA,Human Resources Administration
DOF,Payment Operations
3-1-1,3-1-1 Call Center
DFTA,Department for the Aging
DOF,Land Records
DOF,Discrepancy and Billing
3-1-1,311 Quality Assurance
DOE,Department of Education
SBS,Small Business Services
NYCHA,New York City Housing Authority
DOE,Alternative Superintendency
DCAS,Department of Citywide Administrative Services
DOF,Department of Finance
OATH,Office of Administrative Trials and Hearings
DCP,Department of City Planning
CCHR,Commission on Human Rights
NYCSERVICE,NYC Service
DOE,School - PS 76 William Hallet
DOE,School - PS 71 Rose E Scala
DOE,School - Fort Hamilton High School
DHS,Department of Homeless Services
DV,Mayor's Office to Combat Domestic Violence
DORIS,Department of Records and Information Services
DOE,School - PS 84 Lillian Weber
FDNY,Fire Department of New York
DOE,School - PS 75 Emily Dickinson
DOF,DOF Legal Affairs
DOI,Department of Investigation
DOE,School - Brooklyn Technical High School
DOE,School - PS 150 Queens
DOE,School - Wadleigh Secondary School for the Performing and Visual Arts
DOE,School - MS 246 Walt Whitman
DOE,School - James Madison High School
DOE,School - PS 38 The Pacific
DOE,School - PS 16 Leonard Dunkly
DOE,School - Frederick Douglass Academy II Secondary School
DOE,School - PS 145 Andrew Jackson
DOE,School - Albert Shanker School for Visual and Performing Arts
DOE,School - PS 229 Emanuel Kaplan
DOE,School - PS 233 Langston Hughes
DOE,School - PS 198 Isador E Ida Straus
DOE,School - JHS 123 James M Kieran
DOE,School - PS 76 A Philip Randolph
DOE,School - PS 54 Samuel C Barnes
DOE,School - IS 195 Roberto Clemente
DOE,School - Alfred E Smith Career and Technical Education High School
DOE,School - PS 123
DOE,School - PS 120 Carlos Tapia
DOE,School - PS 36 J C Drumgoole
DOE,School - PS 4 Maurice Wollin
DOE,School - Washington Irving High School
DOE,School - PS 128 Audubon
DOE,School - PS 123 Mahalia Jackson
DOE,School - PS 202 Ernest S Jenkyns
DOE,School - PS 272 Curtis Estabrook
DOE,School - PS 165 Robert E Simon
BIC,Business Integrity Commission
CCRB,Civilian Complaint Review Board
DOE,School - PS-IS 116 William C Hughley
DOE,School - PS 22 Graniteville
DOE,School - JHS 190 Russell Sage
DOE,School - PS 5 Ellen Lurie
DOE,Office of the CIO - Department of Education
DOE,School - JHS 78 Roy H Mann
DOE,School - John Adams High School
DOE,School - Monroe Academy for Visual Arts and Design
DOE,School - PS 199 Jessie Isador Straus
DOE,School - The Urban Assembly School for Law and Justice
DOE,School - Brooklyn School for Global Studies
DOE,School - PS 111 Adolph S Ochs
DOE,School - PS 197 John B Russwurm
DOE,School - Louis D Brandeis High School
DOE,School - PS 89 Bronx
DOE,School - PS 219 Kennedy-King
DOE,School - John F Kennedy High School
DOE,School - PS 183 Dr Richard R Green
DOE,School - PS 153 Hellen Keller
DOE,School - PS 306 Ethan Allen
DOE,School - PS 225 The Eileen E Zaglin
DOE,School - JHS 72 Catherine and Count Basie
DOE,School - Lower Manhattan Arts Academy
DOE,School - PS 93 Albert G Oliver
DOE,School - Manhattan Center for Science and Mathematics
DOE,School - PS 6 Lillie D Blake
DOE,School - IS 228 David A Boody
DOE,School - PS 49 Willis Avenue
DOE,School - PS 53 Bay Terrace
DOE,School - MS 137 America's School of Heroes
DOE,School - PS 32 The Gifford School
DOE,School - PS 209 Clearview Gardens
DOE,School - Fiorello H Laguardia High School of Music and Art and Performing Arts
DOE,School - PS 28 Wright Brothers
DOE,School - The High School of Fashion Industries
DOE,School - PS 24 Spuyten Duyvil
DOE,School - PS 166 Henry Gradstein
DOE,School - PS 132 Garret A Morgan
DOE,School - PS 15 Institute for Environmental Learning
DOE,School - PS 232 Lindenwood
DOE,School - PS 124 Osmond A Church
DOE,School - PS 101 Andrew Draper
DOE,School - PS 81 Thaddeus Stevens
DOE,School - PS 8 Issac Varian
DOE,School - PS 224 Hale A Woodruff
DOE,School - PS 87 William Sherman
DOE,School - PS 186 Dr Irving A Gladstone
DOE,School - PS 9 Sarah Anderson
DOE,School - PS 90 Horace Mann
DOE,School - PS 215 Morris H Weiss
DOE,School - PS 196 Grand Central Parkway
DOE,School - PS 158 Bayard Taylor
DOE,School - PS 144 Col Jeromus Remsen
DOE,School - PS 149 Sojourner Truth
DOE,School - PS 50 Talfourd Lawn Elementary School
DOE,School - PS 290 Juan Morel Campos
DOE,School - PS 133 William A Butler
DOE,School - PS 94 The Henry Longfellow
DOE,School - MS 180 Dr Daniel Hale Williams
DOE,School - PS 70 Queens
DOE,School - PS 121 Queens
DOE,School - MS 324 - Patria Mirabal
DOE,School - PS 60 Alice Austen
DOE,School - PS 12
DOE,School - PS 41 Francis White
DOE,School - PS 42 Eltingville
DOE,School - PS 42 R Vernam
DOE,School - PS 44 Thomas C Brown
DOE,School - JHS 118 William W Niles
DOE,School - PS 199 Maurice A Fitzgerald
DOE,School - Marta Valle Secondary School
DOE,School - Queens Vocational and Technical High School
MOFTB,"Mayor's Office of Film, Theatre and Broadcasting"
DOE,School - Flushing High School
DOE,School - Food and Finance High School
DOE,School - Aviation Career and Technical Education High School
DOE,School - PS-IS 137 Rachel Jean Mitchell
DOE,School - Grover Cleveland High School
DOE,School - IS 141 The Steinway
DOE,School - PS 184 Flushing Manor
DOE,School - Adlai E Stevenson High School
DOE,School - PS 106 Parkchester
DOE,School - PS 105 Senator Abraham Bernstein
DOE,School - PS 45 John Tyler
DOE,School - PS 46 Edgar Allan Poe
DOE,School - PS 204 Morris Heights
DOE,School - Susan E Wagner High School
DOE,School - Academy for Environmental Leadership
DOE,School - PS 346 Abe Stark
DOE,School - PS 6 West Farms
DOE,School - PS 63 Author's Academy
DOE,School - PS 64 Joseph P Addabbo
DOE,School - MS 399
DOE,School - Riverdale Kingsbridge Academy
DOE,School - Tito Puente Education Complex
DOE,School - PS 33 Chelsea School
DOE,School - PS 122 Mamie Fay
DOE,School - William Cullen Bryant High School
DOE,School - PS 162 John Golden
DOE,School - PS 235 Lenox School
DOE,School - PS 158 Warwick
DOE,School - Forest Hills High School
DOE,School - PS 151 Mary D Carter
DOE,School - Francis Lewis High School
DOE,School - PS 167 The Parkway
DOE,School - Franklin Delano Roosevelt High School
DOE,School - August Martin High School
DOE,School - PS 231
DOE,School - PS 140 Nathan Straus
DOE,School - PS 138 Brooklyn
DOE,School - PS 304 Early Childhood School
DOE,School - PS 177 The Marlboro
DOE,School - Harry S Truman High School
DOE,School - PS 222 Katherine R Snyder
DOE,School - JHS 67 Louis Pasteur
DOE,School - IS 24 Myra S Barnes
DOE,School - PS 100 Glen Morris
DOE,School - PS 90 George Meany
DOE,School - PS 205 Clarion
DOE,School - JHS 292 Margaret S Douglas
DOE,School - JHS 278 Marine Park
DOE,School - PS 207 Elizabeth G Leary
DOE,School - JHS 226 Virgil I Grissom
DOE,School - PS 87 Middle Village
DOE,School - JHS 227 Edward B Shallow
DOE,School - George Washington YABC
DOE,School - PS 30 Westerleigh
DOE,School - PS 1 Tottenville
DOE,School - PS - MS 114 Belle Harbor
DOE,School - Newtown High School
DOE,School - PS 14 Senator John Calandra
DOE,School - PS 11 Kathryn Phelan
DOE,School - PS 187 Hudson Cliffs
DOE,School - PS 100 The Coney Island School
DOE,School - IS 187
DOE,School - PS 57 Crescent
DOE,School - JHS 127 The Castle Hill
DOE,School - PS 262 El Hajj Malik El Shabazz Elementary School
DOE,School - IS 206 Ann Mersereau
DOE,School - Staten Island Technical High School
DOE,School - PS 46 Edward C Blum
DOE,School - PS 175 The Lynn Gross Discovery School
DOE,School - JHS 54 Booker T Washington
DOE,School - High School of Graphic Communication Arts
DOE,School - High School of Hospitality Management
DOE,School - PS 86
DOE,School - High School for Environmental Studies
DOE,School - PS 114 Ryder Elementary
DOE,School - PS 375 Jackie-Robinson School
DOE,School - JHS 201 The Dyker Heights
DOE,School - PS 11 William T Harris
DOE,School - PS 108 Sal Abbracciamento
DOE,School - PS 15 Roberto Clemente
DOE,School - PS 328 Phyllis Wheatley
DOE,School - PS 41 Greenwich Village
DOE,School - IS 364 Gateway
DOE,School - PS 84 Jose De Diego
DOE,School - PS 44 Marcus Garvey
DOE,School - PS 45 Horace E Greene
DOE,School - PS 132 Juan Pablo Duarte
DOE,School - JHS 157 Stephen A Halsey
DOE,School - Manhattan - Hunter Science High School
DOE,School - PS 120 Queens
DOE,School - PS 261 Philip Livingston
DOE,School - PS 95 The Gravesend
DOE,School - 47 The American Sign Language and English Secondary School
DOE,School - PS 205 Alexander Graham Bell
DOE,School - IS 237
DOE,School - PS 160 William T Sampson
DOE,School - PS 161 Pedro Albizu Campos
DOE,School - PS 73 Thomas S Boyland
DOE,School - PS 75
DOE,School - Information Technology High School
DOE,School - Ps-IS 268
DOE,School - John Bowne High School
DOE,School - PS 163 Alfred E Smith
DOE,School - Jean Nuzzi Intermediate School
DOE,School - Paula Hedbavny School
DOE,School - Jamaica High School
DOE,School - PS 76 The Bennington School
DOE,School - PS-MS 29 Melrose School
DOE,School - JHS 8 Richard S Grossley
DOE,School - Brooklyn College Academy
DOE,School - PS 77
DOE,School - MS 243 Center School
DOE,School - PS 246 Poe Center
DOE,School - PS 99 Isaac Asimov
DOE,School - PS 63 Old South
DOE,School - IS 73 - The Frank Sansivieri Intermediate School
DOE,School - PS 65 Mother Hale Academy
DOE,School - PS 152 Dyckman Valley
DOE,School - PS 21 Philip H Sheridan
DOE,School - PS 128 Bensonhurst
DOE,School - PS 255 Barbara Reing School
DOE,School - PS 200- The James McCune Smith School
DOE,School - PS 279 Herman Schreiber
DOE,School - PS-IS 104 The Fort Hamilton School
DOE,School - PS 22 Thomas Jefferson
DOE,School - PS 335 Granville T Woods
DOE,School - PS 34 John Harvard
DOE,School - Franklin K Lane High School
DOE,School - PS 156 Waverly
DOE,School - PS 92 Mary McLeod Bethune
DOE,School - PS 268 Emma Lazarus
DOE,School - PS 18 John G Whittier
DOE,School - PS 126 Dr Marjorie H Dunbar
DOE,School - PS 125 Ralph Bunche
DOE,School - Henry Street School for International Studies
DOE,School - JHS 13 Jackie Robinson
DOE,School - IS 72 Rocco Laurie
DOE,School - PS 166 The Richard Rodgers School of the Arts and Technology
DOE,School - PS 163 Arthur A Schomburg
DOE,School - WEB Dubois Academic High School
DOE,School - Health Professions and Human Services
DOE,School - PS 130 Abram Stevens Hewitt
DOE,School - Edward R Murrow High School
DOE,School - PS 134 George F Bristow
DOE,School - PS 157 Benjamin Franklin
DOE,School - PS 29 Queens
DOE,School - PS 255
DOE,School - PS 226 Alfred De B Mason
DOE,School - Andries Hudde
DOE,School - PS 230 Doris L Cohen
DOE,School - IS 528 Bea Fuller Rodgers School
DOE,School - PS 30 Queens
DOE,School - JHS 143 Eleanor Roosevelt
DOE,School - Isaac Newton Middle School for Math and Science
DOE,School - PS 251 Paerdegat
DOE,School - PS 142 Amalia Castro
DOE,School - PS 20 P O George J Werdan III
DOE,School - JHS 125 Henry Hudson
DOE,School - PS 176
DOE,School - PS 160 Walt Disney
DOE,School - PS 133
DOE,School - East Side Middle School
DOE,School - PS 156 Laurelton
DOE,School - PS 171 Peter G Van Alst
DOE,School - PS 9 Ryer Avenue Elementary School
DOE,School - PS 312 Bergen Beach
DOE,School - PS 315
DOE,School - PS 20 Clinton Hill
DOE,School - Boys and Girls High School
DOE,School - PS 77 Lower Lab School
DOE,School - Acorn Community High School
DOE,School - Abraham Lincoln High School
DOE,School - IS 238 Susan B Anthony
DOE,School - PS 5 Dr Ronald Mcnair
DOE,School - PS 5 Huguenot
DOE,School - New Utrecht High School
DOE,School - PS 198
DOE,"School - New Explorations Science, Technology and Math High School"
DOE,School - PS 18 Winchester
DOE,School - NYC Museum School
DOE,School - PS 52 John C Thompson
DOE,School - PS 53 Basheer Quisim
DOE,School - Stuyvesant High School
DOE,School - PS 217 Colonel David Marcus School
DOE,School - IS 232
DOE,School - PS 188 Michael E Berdy
DOE,School - Brooklyn Academy of Science and the Environment
DOE,School - PS 207
DOE,School - Brooklyn Studio Secondary School
DOE,School - Manhattan School for Career Development
DOE,School - PS 214 Cadwallader Colden
DOE,"School - Magnet School of Math, Science and Design Technology"
DOE,School - Magnet School for Science and Technology
DOE,School - IS 34 Tottenville
DOE,School - PS 207 Rockwood Park
DOE,School - PS 79 Creston
DOE,School - PS 65 - The Little Red School House
DOE,School - PS 78 Anne Hutchinson
DOE,School - PS 212 Lady Deborah Moody
DOE,School - MS 319 - Maria Teresa
DOE,School - PS 7 Louis F Simeone
DOE,School - IS 223 Mott Hall
DOE,School - PS 79 - Horan School
DOE,School - Dewitt Clinton High School
DOE,School - PS 48 Joseph R Drake
DOE,School - PS 1 The Bergen
DOE,School - PS 118 Lorraine Hansberry
DOE,School - PS 117 J Keld - Briarwood School
DOE,School - PS 180 Hugo Newman
DOE,School - PS 116 Elizabeth L Farrell
DOE,School - PS 97 Bronx
DOE,School - PS 37
DOE,School - PS 22
DOE,School - PS 112 Lefferts Park
DOE,School - PS 181 Brooklyn
DOE,School - Transit Technology Career and Technical Education High School
DOE,School - Tottenville High School
DOE,School - PS 182 Samantha Smith
DOE,School - The Metropolitan High School
DOE,School - IS 093 Ridgewood
DOE,School - PS 43
DOE,School - PS 83 Luis Munoz Rivera
DOE,School - PS 106
DOE,School - PS 164 Caesar Rodney
DOE,School - PS 100 Isaac Clason
DOE,School - The 47 American Sign Language and English Lower School
DOE,School - PS 101 School in the Gardens
DOE,School - PS 102 Bayview
DOE,School - JHS 52 Inwood
DOE,School - IS 218 Salome Urena
DOE,School - PS 183 Robert L Stevenson
DOE,School - Port Richmond High School
DOE,School - PS-IS 72 Annette P Goldman
DOE,School - PS 103 Hector Fontanez
DOE,School - PS 20 Anna Silver
DOE,School - IS 119 The Glendale
DOE,School - Bayard Rustin Educational Complex
DOE,School - PS 208 Alain L Locke
DOE,School - Agnes Y Humphrey School for Leadership
DOE,School - PS 21 Edward Hart
DOE,School - PS 212 - Queens
DOE,School - PS 213 New Lots
DOE,School - PS 214
DOE,School - PS 215 Lucretia Mott
DOE,School - Art and Design High School
DOE,School - PS 219 Paul Klapper
DOE,School - PS 23 The New Childrens School
DOE,School - PS 228 Early Childhood Magnet School of the Arts
DOE,School - PS 206 The Horace Harding School
DOE,School - PS 205 Fiorello Laguardia
DOE,School - PS 223 Lyndon B Johnson
DOE,School - Bayside High School
DOE,School - PS 98 The Douglaston School
DOE,School - PS 241 Family Academy
DOE,School - PS 64 Robert Simon
DOE,School - Richmond Hill High School
DOE,School - PS 70 Max Schoenfeld
DOE,School - PS 69 Jackson Heights
DOE,School - PS 69 Daniel D Tompkins
DOE,School - PS 68 Bronx
DOE,School - Ross Global Academy Charter School
DOE,School - Scholars Academy
DOE,School - PS 242 Gwendolyn Powell Brown Computer School
DOE,School - School of Performing Arts
DOE,School - PS 6 Corporal Allan F Kivlehan School
DOE,School - PS 58 School of Heroes
DOE,School - PS 55 Maure
DOE,School - PS 55 Benjamin Franklin
DOE,School - PS 54 Charles W Leng
DOE,School - PS 72
DOE,School - PS 72 Dr William Dorney
DOE,School - PS 721 Brooklyn Occupational Training Center
DOE,School - PS 73 Bronx
DOE,School - PS-MS 147 Ronald Mcnair
DOE,School - PS 771
DOE,School - PS 8 Luis Belliard
DOE,School - PS 8 Robert Fulton
DOE,School - PS 81 Jean Paul Richter
DOE,School - PS 81 Robert J Christen
DOE,School - PS-IS 54
DOE,School - PS 82 Hammond
DOE,School - PS-IS 218 Rafael Hernandez Dual Language Magnet School
DOE,School - PS-IS 217 Roosevelt Island School
DOE,School - PS-IS 208
DOE,School - PS 96 Joseph Lanzetta
DOE,School - PS 96 Richard Rodgers
DOE,School - PS 51
DOE,School - PS 50 Frank Hankinson
DOE,School - Talent Unlimited High School
DOE,School - PS 306
DOE,School - PS 254 Dag Hammarskjold
DOE,School - PS 256
DOE,School - PS 26 Jesse Owens
DOE,School - Beach Channel High School
DOE,School - PS 276 Louis Marshall
DOE,School - PS 277 Gerritsen Beach
DOE,School - PS 28 The Warren Prep Academy
DOE,School - Bronx Academy of Letters
DOE,School - PS 282 Park Slope
DOE,School - PS 29 Bardwell
DOE,School - PS 29 John M Harrigan
DOE,School - Bronx Coalition Community High School
DOE,School - PS 3 Charrette School
DOE,School - PS 30 Hernandez-Hughes
DOT,Bridge Community Affairs
DOE,School - PS 48 Mapleton
DOE,School - PS 307 Eames Place
DOE,School - PS 308 Clara Cardwell
DOE,School - Bronx High School of Science
DOE,School - PS 327 Dr Rose B English
DOE,School - PS 33 Edward M Funk
DOE,School - PS 345 Patrolman Robert Bolden
DOE,School - Unity Center for Urban Technologies
DOE,School - PS 35 Nathaniel Woodhull
DOE,School - PS 36 Saint Albans School
DOE,School - PS 37 - Multiple Intelligence School
DOE,School - PS 38 Roberto Clemente
DOE,School - PS 40 Samuel Huntington
DOE,School - The Heritage School
DOE,School - PS 46 Alley Pond
DOE,School - PS 360
DOE,School - Bronx Leadership Academy II High School
DOE,School - PS 203 Floyd Bennett
DOE,School - IS 285 Meyer Levin
DOE,School - PS 102 Joseph O Loretan
DOE,School - PS 105 The Blythebourne
DOE,School - IS 211 John Wilson
DOE,School - PS 110 Theodore Schoenfeld
DOE,School - IS 204 Oliver W Holmes
DOE,School - PS 111 Jacob Blackwell
DOE,School - PS 112 Dutch Kills
DOE,School - PS 114 - Luis Llorens Torres Schools
DOE,School - PS 116 Mary Lindley Murray
DOE,School - PS 12 James B Colgate
DOE,School - IS 181 Pablo Casals
DOE,School - IS 171 Abraham Lincoln
DOE,School - PS 121 Nelson A Rockefeller
DOE,School - IS 131 Dr Sun Yat Sen
DOE,School - JHS 217 Robert A Van Wyck
DOE,School - PS 128 Juniper Valley
DOE,School - PS 13 M L Lindemeyer
DOE,School - PS 130
DOE,School - PS 130 Hernando Desoto
DOE,School - PS 131 Brooklyn
DOE,School - Hillcrest High School
DOE,School - PS 135 Sheldon A Brookner
DOE,School - PS 139 Alexine A Fenty
DOE,School - PS 143 Louis Armstrong
DOE,School - PS 146 Howard Beach
DOE,School - PS 149 Christa Mcauliffe
DOE,School - PS 152 Evergreen
DOE,School - PS 102 Jacques Cartier
DOE,School - PS 1 Alfred E Smith
DOE,School - PS 16 John J Driscoll
DOE,School - IS 303 Herbert S Eisenberg
DOE,School - JHS 259 William Mckinley
DOE,School - JHS 44 William J O'Shea
DOE,School - JHS 202 Robert H Goddard
DOE,School - JHS 80 The Mosholu Parkway
DOE,School - John Dewey High School
DOE,School - Juan Morel Campos Secondary School
DOE,School - Lafayette High School
DOE,School - Life Sciences Secondary School
DOE,School - MS 2
DOE,School - MS 247 Dual Language Middle School
DOE,School - MS 250 West Side Collaborative Middle School
DOE,School - JHS 166 Roberto Clemente
DOE,School - JHS 166 George Gershwin
DOE,School - MS 61 Dr Gladstone H Atwell
DOE,School - MS K394
DOE,School - JHS 113 Ronald Edmonds Learning Center
DOE,School - Medgar Evers College Preparatory School
DOE,School - JHS 104 Simon Baruch
DOE,School - Merrick Academy Charter School
DOE,School - IS 96 Seth Low
DOE,School - IS 75 Frank D Paulo
DOE,School - IS 68 Isaac Bildersee
DOE,School - IS 49 Berta A Dreyfus
DOE,School - IS 347 School of Humanities
DOE,School - IS 340
DOE,School - New Dorp High School
DOE,School - New York City Academy for Discovery
DOE,School - PS 153 Adam Clayton Powell
DOE,School - IS 125 Thom J McCann Woodside
DOE,School - JHS 223 The Montauk
DOE,School - PS 171 Patrick Henry
DOE,School - Bushwick School for Social Justice
DOE,School - PS 194 Countee Cullen
DOE,School - Business School for Entrepreneurial Studies
DOE,School - Eleanor Roosevelt High School
DOE,School - PS 193 Alfred J Kennedy
DOE,School - Edward A Reynolds West Side High School
DOE,School - PS 192 Jacob H Schiff
DOE,School - PS 192 - The Magnet School for Math and Science Inquiry
DOE,School - PS 191 Amsterdam
DOE,School - Central Park East High School
DOE,School - Chelsea Career and Technical Education High School
DOE,School - Democracy Preparatory Charter School
DOE,School - PS 164 Queens Valley
DOE,School - PS 172 Beacon School of Excellence
DOE,School - PS 173
DOE,School - PS 189
DOE,School - PS 188
DOE,School - Curtis High School
DOE,School - PS 174 William Sidney Mount
DOE,School - Choir Academy of Harlem
DOE,School - PS 181 Brookfield
DOE,School - Cobble Hill School of American Studies
DOE,School - Far Rockaway High School
DOE,School - PS 176 Cambria Heights
DOE,School - Brooklyn International High School
DOE,School - PS 165 Edith K Bergtraum
DOE,School - PS 178 - Dr Selman Waksman
DOE,School - Bronx Writing Academy
DOE,School - PS 197 The Ocean School
DOE,School - PS 2 Morrisania
DOE,School - PS 161 The Crown
DOE,School - PS 20 John Bowne
DOE,School - Brooklyn High School of the Arts
DOE,School - Ella Baker School
DOE,School - PS 200 Benson School
DOE,"School - IS 349 Math, Science, and Technology"
DOE,School - PS 83 Donald Hertz
DOE,School - PS-IS 210 - Twenty-First Century Academy for Community Leadership
DOE,School - PS-IS 178 Holliswood
DOE,School - JHS 210 Elizabeth Blackwell
DOE,School - IS 51 Edwin Markham
DOE,School - IS 61 Leonardo Da Vinci
DOE,School - Childrens Workshop at PS 361
DOE,School - PS 99 Kew Gardens
DOE,School - IS 77
DOE,School - JHS 216 George J Ryan
DOE,School - PS 811 Connie Lekas School
DOE,School - PS-IS 323
DOE,School - Christopher Columbus High School
DOE,School - IS 339
DOE,"School - IS 318 Math, Science, and Technology Through Arts"
DOE,School - PS-MS 200 - The Pomonok School and Star Academy
DOE,School - Coalition School for Social Change
DOE,School - Pacific High School
DOE,School - Paul Robeson High School
DOE,School - IS 30 Mary White Ovington
DOE,School - PS 811 - Queens
DOE,School - Peninsula Preparatory Academy Charter School
DOE,School - PS 811 - Mickey Mantle School
DOE,School - Performance School
DOE,School - Columbia Secondary School
DOE,School - Pioneer Academy
DOE,School - PS 98 Shorac Kappock
DOE,School - JHS 167 Robert F Wagner
DOE,School - JHS 194 William Carr
DOE,School - PS 97 The Highlawn
DOE,School - JHS 185 Edward Bleeker
DOE,School - PS 87 Bronx
DOE,School - PS 89 Elmhurst
NYPD,Investigation Review Section
DOE,School - JHS 162 The Willoughby
DOE,School - PS 90 Edna Cohen School
DOE,School - JHS 151 Lou Gehrig
DOE,School - JHS 145 Arturo Toscaninni
DOE,School - PS 86 Kingsbridge Heights
DOE,School - PS 91 Bronx
DOE,School - PS 91 Richard Arkwright
DOE,School - PS 91 The Albany Avenue School
DOE,School - Brooklyn Academy High School
DOE,School - JHS 189 Daniel Carter Beard
DOE,School - PS 92 Adrian Hegeman
DOE,School - PS 92 Bronx
DOE,School - JHS 142 John Philip Sousa
DOE,School - JHS 14 Shell Bank
DOE,School - Progress High School for Professional Careers
DOE,School - PS 93 William H Prescott
DOE,School - PS 85 Judge Charles Vallone
DOE,School - PS 95 Eastwood
DOE,School - PS 95 Sheila Mencher
DOE,School - Carl C Icahn South Bronx Charter School
DOE,School - PS 85 Great Expectations
DOE,School - International High School at Lafayette
DOE,School - Independence High School
DOE,School - Bronx Regional High School
DOE,School - PS 97 Forest Park
DOE,School - PS 84 Steinway
DOE,School - Frank Sinatra School of the Arts High School
DOE,School - Cornerstone Academy for Social Action
DOE,School - Herbert H Lehman High School
DOE,School - Young Women's Leadership School
DOE,School - Young Leaders Elementary School
DOE,School - Wings Academy
DOE,School - High School for Law Enforcement and Public Safety
DOE,School - High School for Public Service - Heroes of Tomorrow
DOE,School - Walton High School GED
DOE,School - High School of Applied Communication
DOE,School - High School of Arts and Business YABC
DOE,School - Urban Assembly Academy of Government and Law
DOE,School - High School of Economics and Finance
DOE,School - Arts and Media Preparatory Academy
DOE,School - High School of Telecommunication Arts and Technology
DOE,School - Hudson Honors Middle School
DOE,School - Thurgood Marshall Academy for Learning and Social Change
DOE,School - Humanities Preparatory Academy
DOE,School - The Seeall Academy
DOE,School - The Renaissance Charter School
DOE,School - High School for Civil Rights
DOE,School - Aspire Preparatory Middle School
DOE,School - The Michael J Petrides School
DOE,School - Harriet Tubman Charter School
DOE,School - Benjamin Banneker Academy
DOE,School - Benjamin N Cardozo High School
DOE,School - Frederick Douglass Academy
DOE,School - Eximius College Preparatory Academy: A College Board School
DOE,School - Bread and Roses Integrated Arts High School
DOE,School - Frederick Douglass Academy III Secondary School
DOE,School - Bronx Charter School for Arts
DOE,School - George Westinghouse Career and Technical Education High School
DOE,School - Grace Dodge Career and Technical Education High School
DOE,School - Grace Dodge YABC
DOE,School - Bronx Dance Academy School
DOE,School - Harbor Sciences and Arts Charter School
DOE,School - Bronx Health Sciences High School
DOE,School - Elijah Stroud Middle School
DOE,School - Bronx High School for the Visual Arts
DOE,School - Harlem Day Charter School
DOE,School - Harlem Renaissance High School
DOE,School - The Opportunity Charter School
DOE,School - East Side Community High School
DOE,School - Crotona Academy High School
DOE,School - Cynthia Jenkins School
DOE,School - School for Legal Studies
DOE,School - School for International Studies
DOE,School - Satellite Academy High School
DOE,School - A Philip Randolph Campus High School
DOE,School - Samuel J Tilden High School
DOE,School - Samuel Gompers Career and Technical Education High School
DOE,School - 723
DOE,School - Robert E Peary School
DOE,School - IS 219 New Venture School
